ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,10,12150,1,0049,1,2,202207121501004911,03,1,1,1,1,2, ,1,57,1,1,14,7,1966,1, , , , , , , , , , , , , , , ,9523,4781,2, ,3,2,1,3,5,8,8,8,8,8,8,53, ,53,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,10,7,1, ,43, , , , ,1644, , ,1687,1687,1687,1,185.362399797183
2023,10,12150,1,0049,1,2,202207121501004912,03,1,2,2,1,2, ,2,54,2,2,1,8,1969,1, , , , , , , , , , , , , , , ,9523,4781,4, ,3,2,1,3,3,0,1,3,3,0,3,13, , ,1, ,1,1, , , , , , , , , , , ,2,5,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,164.305167416692
2023,10,12150,1,0049,1,2,202207121501004913,03,1,3,3,1,2, ,1,18,3,3,1,5,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,2, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,242.622808000746
2023,10,12150,1,0049,1,2,202207121501004914,03,1,4,3,1,2, ,1,14,4,4,5,5,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,242.622808000746
2023,10,12150,1,0049,1,2,202207121501004915,03,1,5,3,1,2, ,2,35,5,5,13,12,1987,1, , , , , , , , , , , , , , , ,7511,4721,3,5,3,2,1,4,0,2,2,5,0,0,0,9,9,30,2,30,1,1,1,1,2,40, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,1, , , , , ,173, , , ,173,173,173,1,178.738117124424
2023,10,12150,1,0049,1,2,202207121501004916,03,1,6,5,1,2, ,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,12271,1,0070,1,2,202210122711007011,03,1,1,1,1,2, ,1,43,1,1,4,5,1980,1, , , , , , , , , , , , , , , ,9511,4781,2, ,3,2,1,1,0,9,0,9,9,9,9,45, ,45,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1, ,173, , , , ,1292, , ,1465,1465,1465,1,157.84755699976
2023,10,12271,1,0070,1,2,202210122711007012,03,1,2,2,1,2, ,2,41,2,2,24,11,1981,1, , , , , , , , , , , , , , , ,5223,4630,3,5,3,3,1,16,0,3,0,3,3,0,3,12,4,16,1, ,2, ,2,2,2,80, , , , , ,200,80, , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , ,80, ,346, , ,200,626,346,626,1,140.332222444496
2023,10,12271,1,0070,1,2,202210122711007013,03,1,3,3,1,2, ,2,19,3,3,7,6,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,187.019307487213
2023,10,12271,1,0070,1,2,202210122711007014,03,1,4,3,1,2, ,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,12271,1,0071,1,2,202210122711007111,03,1,1,1,1,2, ,1,40,1,1,29,3,1983,1, , , , , , , , , , , , , , , ,4110,4630,3,5,1, ,3,70,0,8,8,8,8,8,8,48,4,52,1, ,1,1,1,2,4,2200, , , , , ,600, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , ,907,2200, , ,600,2800,2200,3707,1,157.84755699976
2023,10,12271,1,0071,1,2,202210122711007112,03,1,2,2,1,2, ,2,29,2,2,9,2,1994,1, , , , , , , , , , , , , , , ,7513,1071,2, ,3,2,1,1,8,0,0,0,0,8,5,21, ,21,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, ,108, , , , ,285, , ,393,393,393,1,140.332222444496
2023,10,12271,1,0071,1,2,202210122711007113,03,1,3,3,1,2, ,1,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,12271,1,0071,1,2,202210122711007114,03,1,4,3,1,2, ,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,12271,1,0071,1,2,202210122711007115,03,1,5,3,1,2, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
