ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,10,03691,2,0079,1,1,202310036912007913,25,1,3,3,1,2, ,2,38,3,3,9,5,1985,1, , , , , , , , , , , , , , , ,9535,4782,2, ,3,2,1,1,0,9,9,9,9,9,9,54, ,54,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4, ,6,2,2,2,2,2,2,10,6,1, ,25, , , , ,945, , ,970,970,970,1,220.65450130583
2023,10,03691,2,0079,1,1,202310036912007914,25,1,4,5,1,2, ,1,17,4,4,7,8,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,278.446125365579
2023,10,03691,2,0080,1,1,202310036912008011,25,1,1,1,1,2, ,2,74,1,1,15,8,1949,1, , , , , , , , , , , , , , , ,5213,4781,2, ,3,2,1,2,7,7,7,7,7,7,7,49, ,49,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,1, ,87, , , , ,923, , ,1010,1010,1010,1,182.819139485795
2023,10,03691,2,0080,1,1,202310036912008012,25,1,2,2,1,2, ,1,76,2,2,12,12,1946,1, , , , , , , , , , , , , , , ,5213,4781,4, ,3,2,1,2,7,7,7,7,7,7,7,49, ,49,1, ,2, ,2, , , , , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , , , , ,0,0,0,1,193.734259254551
2023,10,03864,2,0047,1,1,202310038642004711,25,1,1,1,1,2, ,1,73,1,1,5,10,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,9,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,185.051434413311
2023,10,03864,2,0047,1,1,202310038642004712,25,1,2,3,1,2, ,1,48,2,2,1,3,1975,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,3,1,4,0,0,8,8,8,8,8,40, ,40,1, ,2, ,2,2,3,900, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,1, , , , , ,1800, , , ,1800,1800,1800,1,197.883072891373
2023,10,03864,2,0047,1,1,202310038642004713,25,1,3,4,1,2, ,2,44,3,3,8,6,1979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,254.571839760004
2023,10,03864,2,0048,1,1,202310038642004811,25,1,1,1,1,2, ,1,59,1,1,16,8,1964,1, , , , , , , , , , , , , , , ,9521,4781,2, ,3,2,1,3,12,12,12,10,12,12,12,82, ,82,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,1, ,433, , , , ,1330, , ,1763,1763,1763,1,185.051434413311
2023,10,03864,2,0048,1,1,202310038642004812,25,1,2,2,1,2, ,2,64,2,2,2,4,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,186.734206144058
2023,10,03864,2,0048,1,1,202310038642004813,25,1,3,3,1,2, ,1,40,3,1,21,7,1983,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,9521,4781,4, ,3,2,1,3,12,12,12,10,12,12,12,82, ,82,1, ,2, ,2, , , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4, ,6,2,2,1,2,2,2,10,5,1, , , , , , , , , ,0,0,0,1,242.310667526587
2023,10,03864,2,0048,1,1,202310038642004814,25,1,4,3,1,2, ,1,39,4,4,22,8,1984,1, , , , , , , , , , , , , , , ,9521,4781,4, ,3,2,1,3,12,12,12,10,12,12,12,82, ,82,1, ,2, ,2, , , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , , , , ,0,0,0,1,273.810113942463
2023,10,03864,2,0048,1,1,202310038642004815,25,1,5,9,2, ,1,2,32,5,5,8,12,1990,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,10,10,10,10,10,10,10,70, ,70,1, ,2, ,2,2,5, ,390, , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,1,856, , , , , , , , ,856,856,856,1,254.571839760004
2023,10,03864,2,0051,1,1,202310038642005111,25,1,1,1,1,2, ,1,27,1,1,10,3,1996,1, , , , , , , , , , , , , , , ,5212,4773,2, ,3,2,1,2,0,10,10,10,10,10,10,60, ,60,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,6,1, , , , , , ,798, , ,798,798,798,1,273.810113942463
2023,10,03864,2,0051,1,1,202310038642005112,25,1,2,2,1,2, ,2,29,2,2,2,10,1993,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,6,4, , , , , , , , , , , , ,1,254.571839760004
2023,10,03864,2,0051,1,1,202310038642005113,25,1,3,3,1,2, ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,0330802,2,0016,1,1,20221003308022001611,25,1,1,1,1,1, ,2,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2023,10,0330802,2,0016,1,1,20221003308022001612,25,1,2,3,1,2, ,1,26,2,2,2,5,1997,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2, , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,252.015029223423
2023,10,0330802,2,0016,1,1,20221003308022001613,25,1,3,3,1,2, ,2,20,3,3,22,7,2003,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,1,1, , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,10,3, ,2,2,2,2,2,2,10,7,3, , , , , , , , , , , , ,1,259.227336037339
2023,10,0330802,2,0017,1,1,20231003308022001711,25,1,1,1,1,2, ,1,21,1,1,8,9,2002,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,8,4, , , , , , , , , , , , ,1,266.017315465531
2023,10,0330802,2,0020,1,1,20221003308022002011,25,1,1,1,1,2, ,2,46,1,1,20,2,1977,1, , , , , , , , , , , , , , , ,5212,4711,2, ,3,2,1,1,0,10,10,10,10,10,10,60,4,64,1, ,2, ,2,2, , , , , , , ,120, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,5,1, ,43, , , , ,866, ,120,1029,909,1029,1,193.885445588119
2023,10,0330802,2,0020,1,1,20231003308022002012,25,1,2,3,1,2, ,2,28,2,2,6,2,1995,1, , , , , , , , , , , , , , , ,3213,4772,3,5,2,2,1,2,9,9,0,9,9,9,9,54,2,56,1, ,2, ,2,2,4,750, , , , , ,20, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,5,1, , , , , ,750, , ,20,770,750,770,1,260.227070629798
2023,10,0330802,2,0020,1,1,20231003308022002013,25,1,3,5,1,2, ,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,0330802,2,0023,1,1,20221003308022002311,25,1,1,1,1,2, ,1,66,1,1,17,5,1957,1, , , , , , , , , , , , , , , ,1323,4100,1, ,1, ,1,5,0,5,5,5,5,5,5,30, ,30,1, ,2, ,2,2, , , ,2000, , , , , , , , , , , , ,1,4,2, ,2, ,2, ,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,9,3, ,2,2,2,2,2,2,1,1,1, , , , , , ,2000, , ,2000,2000,2000,1,190.269376084195
2023,10,03419,3,0039,1,1,202207034193003911,25,1,1,1,1,2, ,1,44,1,1,13,11,1978,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,11,11,11,11,11,11,11,77, ,77,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,9,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,1200, , ,1200,1200,1200,1,188.820977899413
2023,10,03419,3,0039,1,1,202207034193003912,25,1,2,2,1,2, ,2,42,2,2,9,4,1981,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,2,0,2,0,0,2,6,7,13,1, ,2, ,2,2,2,60, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,9,5, ,2,2,2,2,2,2,10,7,1, , , , , ,260, , ,150,410,260,410,1,194.973808124183
2023,10,03419,3,0039,1,1,202207034193003913,25,1,3,3,1,2, ,1,18,3,3,15,8,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,199.312119595245
2023,10,03419,3,0039,1,1,202207034193003914,25,1,4,3,1,2, ,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,03419,3,0039,1,1,202207034193003915,25,1,5,3,1,2, ,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,03419,3,0039,1,1,202307034193003916,25,1,6,6,1,2, ,2,87,6,6,4,1,1936,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,142.482446205194
2023,10,03419,3,0040,1,1,202207034193004011,25,1,1,1,1,2, ,1,40,1,1,17,2,1983,1, , , , , , , , , , , , , , , ,4321,4663,3,5,2,1,1,14,0,8,8,8,8,8,8,48,15,63,1, ,2, ,2,2,3,600, , , ,450, , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1, , , , ,121,1200, ,450, ,1650,1200,1771,1,208.923344232646
2023,10,03419,3,0040,1,1,202207034193004012,25,1,2,2,1,2, ,2,39,2,2,6,5,1984,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2, ,9111,9700,6, , , ,1,1,0,13,13,13,13,13,13,78, ,78,1, ,2, ,2,2,2,120,100, , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,433, , , , ,520, , , ,953,953,953,1,194.244103493173
2023,10,03419,3,0040,1,1,202207034193004013,25,1,3,3,1,2, ,1,16,3,3,9,7,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,217.010566782196
2023,10,03419,3,0040,1,1,202207034193004014,25,1,4,3,1,2, ,2,14,4,4,5,1,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,227.659085328436
